,element,Tc,Tc_mean
0,Lu1.8Ba0.2Cu1O4,71.9,71.9
1,Y0.9Ba0.1Cu1O4,81.0,81.0
2,Sr0.2La1.8Cu0.95Ti0.05O4,21.0,21.0
3,Sr0.2La1.8Cu0.99V0.01O4,12.0,12.0
4,Sr0.2La1.8Cu0.99Cr0.01O4,22.0,22.0
5,Sr0.2La1.8Cu0.98Mn0.02O4,32.0,32.0
6,Sr0.2La1.8Cu0.95Fe0.05O4,30.0,30.0
7,Sr0.2La1.8Cu0.95Co0.05O4,16.0,16.0
8,Sr0.2La1.8Cu0.95Ni0.05O4,21.0,21.0
9,Pr0.1La1.7Sr0.2Cu1O4,36.0,36.0
10,Nd0.1La1.7Sr0.2Cu1O4,35.0,35.0
11,Sm0.1La1.7Sr0.2Cu1O4,32.0,32.0
12,Gd0.1La1.7Sr0.2Cu1O4,30.0,30.0
13,Y1Ba2Cu2.85Fe0.15O7,51.0,51.0
14,Y1Ba2Cu3Cl1O6,72.0,72.0
15,Y1Ba2Cu2.95Al0.05O7,88.0,88.0
16,Y1Ba2Cu2.9Al0.1O7,75.0,75.0
17,La1.85Sr0.15Cu0.95Ni0.05O4,4.2,4.2
18,Y1Ba2Cu2.89Al0.11O7,82.0,82.0
19,Y1Ba2Cu2.88Al0.12O7,51.0,51.0
20,Y1Ba2Cu2.87Al0.13O7,45.0,45.0
21,Y1Ba2Cu2.865Al0.135O7,45.0,45.0
22,Y1Ba2Cu2.82Al0.18O7,20.0,20.0
23,Y1Ba2Cu3H0.14O7,92.5,92.5
24,Y1Ba2Cu3H1O7,93.2,93.2
25,Eu1Ba2Cu3O7.1,94.9,94.9
26,Gd1Ba2Cu3O7.08,93.8,93.8
27,Dy1Ba2Cu3O6.82,92.7,92.7
28,Ho1Ba2Cu3O6.71,92.9,92.9
29,Er1Ba2Cu3O6.82,92.4,92.4
30,Tm1Ba2Cu3O6.65,92.5,92.5
31,Yb1Ba2Cu3O6.71,87.0,87.0
32,Nd1Ba2Cu3O7.16,95.3,95.3
33,Sm1Ba2Cu3O7.11,93.5,93.5
34,Y1Ba2.01Cu2.81Ni0.19O6.7,65.0,65.0
35,Y1Ba2.02Cu2.18Zn0.82O7,30.0,30.0
36,Y1Ba1.99Cu2.847Ag0.153O6.7,86.0,86.0
37,Y1Ba2Cu2.902Pt0.098O6.4,81.0,81.0
38,Y1Ba2.01Cu2.7Co0.3O6.8,36.0,36.0
39,Y1.01Ba2.01Cu2.906Ni0.094O6.7,71.0,71.0
40,Y1Ba2Cu2.697Mn0.303O6.9,63.0,63.0
41,Y1Ba2Cu2.844Fe0.156O7,57.0,57.0
42,Y1.01Ba2.01Cu2.697Fe0.303O,36.0,36.0
43,Y0.99Ba1.99Cu2.847Li0.153O6.4,62.0,62.0
44,Y1.01Ba2.03Cu2.808Li0.192O6.6,33.0,33.0
45,Y1Ba2Cu3F0.825O,90.5,90.5
46,Y1Ba2Cu3F1.65O5.675,90.3,90.3
47,La1.85Sr0.15Cu0.925Zn0.025O4,15.0,15.0
48,Y1Ba2Cu2.841Co0.159O6.8,54.0,54.0
49,Y1Ba2.01Cu2.806Cr0.194O7.3,62.0,62.0
50,Y1Ba2Cu2.95Fe0.05O6.92,91.8,91.8
51,Y1Ba2Cu2.8Fe0.2O6.93,49.0,49.0
52,Y1Ba2Cu2.6Fe0.4O7,31.0,31.0
53,Y1Ba2Cu2.95Al0.05O6.93,91.0,91.0
54,Y1Ba2Cu2.9Al0.1O6.93,92.0,92.0
55,Y1Ba2Cu2.8Al0.2O6.91,85.0,85.0
56,Y1Ba2Cu2.7Al0.3O6.99,73.0,73.0
57,Y1Ba2Cu2.6Al0.4O7,42.0,42.0
58,Y1Ba2Cu2.9Ni0.1O6.87,55.0,55.0
59,Y1Ba2Cu2.8Ni0.2O6.82,45.0,45.0
60,Y1Ba2Cu2.98Co0.02O6.9,93.4,93.4
61,Y1Ba2Cu2.95Co0.05O6.92,94.3,94.3
62,Y1Ba2Cu2.9Co0.1O6.82,73.0,73.0
63,Y1Ba2Cu2.8Co0.2O6.83,53.0,53.0
64,Y1Ba2Cu2.7Co0.3O6.88,22.0,22.0
65,Y1Ba2Cu2.9Zn0.1O6.81,55.0,55.0
66,Y1Ba2Cu2.8Zn0.2O6.79,45.0,45.0
67,Y1Ba2Cu2.7Zn0.3O6.74,45.0,45.0
68,Y1.2Ba0.8Cu1O4,75.0,75.0
69,Nd1Ba2Cu3S1O6,69.0,69.0
70,Nd1Ba2Cu3S1O5,56.0,56.0
71,Eu1Ba2Cu3S1O6,85.0,85.0
72,Gd1Ba2Cu3S1O6,92.0,92.0
73,Y1Ba2Cu3S0.03O7.12,90.0,90.0
74,Y1Ba2Cu3S0.06O7.23,89.0,89.0
75,Y1Ba2Cu3S0.12O7.28,89.0,89.0
76,Gd1Ba2Cu3O6.9,92.0,92.0
77,Gd1Ba2Cu2.7Fe0.3O6.9,41.0,41.0
78,Gd1Ba2Cu2.7Co0.3O6.9,33.0,33.0
79,Y1Ba2Cu2.5Ni0.5O7,52.3,52.3
80,La2.8Ba3.2Cu6O14.07,13.0,13.0
81,La2.6Ba3.4Cu6O14.06,26.0,26.0
82,La2.4Ba3.6Cu6O14.01,39.0,39.0
83,La2.2Ba3.8Cu6O13.86,52.0,52.0
84,La2Ba4Cu6O13.8,65.0,65.0
85,Y1La2Ba3Cu6O14.53,25.6,25.6
86,Y1La1.8Ba3.2Cu6O14.49,41.9,41.9
87,Y1La1.6Ba3.4Cu6O14.38,53.1,53.1
88,Y1La1.4Ba3.6Cu6O14.2,64.0,64.0
89,Y1La1.2Ba3.8Cu6O14.07,70.4,70.4
90,Y1La1Ba4Cu6O13.95,72.2,72.2
91,Y2La1Ba3Cu6O14.17,28.0,28.0
92,Y2La0.8Ba3.2Cu6O14.2,46.0,46.0
93,Y2La0.6Ba3.4Cu6O14.02,60.0,60.0
94,Y2La0.4Ba3.6Cu6O13.91,78.0,78.0
95,Y2La0.15Ba3.85Cu6O13.99,93.2,93.2
96,Y2La0.1Ba3.9Cu6O13.94,90.0,90.0
97,Y1Ba1.975La0.025Cu3O6.95,99.0,99.0
98,Y1Ba1.95La0.05Cu3O6.9,99.0,99.0
99,Y1Ba1.925La0.075Cu3O6.9,99.0,99.0
100,Y1Ba1.8La0.2Cu3O6.95,78.0,78.0
101,Y1Ba1.6La0.4Cu3O7.05,52.0,52.0
102,Y1Ba1.5La0.5Cu3O7.08,38.0,38.0
103,Y1Ba2Cu2.8Co0.2O7.04,53.0,53.0
104,Bi2Sr2Ca1Cu2O,87.0,87.0
105,Y1Ba2Cu2.97Co0.03O6.96,92.0,92.0
106,Y1Ba2Cu2.925Co0.075O6.97,92.0,92.0
107,Y1Ba2Cu2.85Co0.15O7.03,65.0,65.0
108,Y1Ba2Cu2.775Co0.225O6.99,58.0,58.0
109,Y1Ba2Cu2.7Co0.3O7.11,36.0,36.0
110,Y1Ba2Cu2.94Ni0.06O7.01,85.0,85.0
111,Y1Ba2Cu2.85Ni0.15O6.84,75.0,75.0
112,Y1Ba2Cu2.7Ni0.3O6.88,73.0,73.0
113,Y1Ba2Cu2.4Ni0.6O6.94,66.0,66.0
114,La1.94Sr0.06Cu1O3.995,6.5,6.5
115,La1.92Sr0.08Cu1O3.994,20.3,20.3
116,La1.89Sr0.11Cu1O3.986,29.2,29.2
117,La1.815Sr0.185Cu1O3.964,33.2,33.2
118,La1.78Sr0.22Cu1O3.945,34.8,34.8
119,La1.75Sr0.25Cu1O3.921,19.6,19.6
120,La1.73Sr0.27Cu1O3.913,30.6,30.6
121,La1Ba2Cu2.9O6.8,45.0,45.0
122,La1.2Ba1.8Cu3O6.98,80.0,80.0
123,La1.9Sr0.1Cu1O3.98,29.5,29.5
124,La1.85Sr0.15Cu1O3.98,37.9,37.9
125,La1.8Sr0.2Cu1O3.99,27.5,27.5
126,La1.9Ca0.1Cu1O3.967,20.0,20.0
127,La1.85Ca0.15Cu1O3.942,19.0,19.0
128,La1.8Ca0.2Cu1O3.917,19.5,19.5
129,Y1Ba2Cu2.955Fe0.045O6.89,72.0,72.0
130,Y1Ba2Cu2.9Fe0.1O6.92,48.0,62.0
131,Y1Ba2Cu2.52Al0.48O6.74,68.0,68.0
132,Y1Ba2Cu2.05Al0.95O6.7,63.0,63.0
133,Y1Ba2Cu2.095Al0.095O6.81,83.3,83.3
134,Y1Ba2Cu2.98Zr0.02O6.84,90.2,90.2
135,Y1Ba2Cu2.94Zr0.06O6.81,92.3,92.3
136,Y1Ba2Cu2.98Zr0.2O6.75,89.8,89.8
137,Eu1Ba2Cu3O6.76,77.0,77.0
138,Eu1Ba2Cu3O6.88,94.0,94.0
139,Y1Ba2Cu2.98Fe0.02O6.93,89.0,90.4
140,Y1Ba2Cu2.994Zn0.006O6.63,60.0,60.0
141,Eu0.1La1.7Sr0.2Cu1O4,33.0,33.0
142,Sm1.05Ba1.95Cu3O6.87,89.75,89.75
143,Sm1.15Ba1.85Cu3O6.95,77.3,77.3
144,Sm1.2Ba1.8Cu3O7.01,56.5,56.5
145,Sm1.28Ba1.72Cu3O7.03,43.6,43.6
146,Sm1.35Ba1.65Cu3O7.07,26.2,26.2
147,Bi2Sr1.3Ca0.7Cu1O6.15,84.0,84.0
148,Y1Ba2Cu2.85Ag0.15O7,90.0,90.0
149,Y1Ba2Cu3O6.46,45.0,45.0
150,Tl1Sr2Ca0.5Sm0.5Cu2O6.75,37.6,37.6
151,La1Ba1Ca1Cu3O6.98,76.35,76.35
152,Er1Ba2Cu3O6.15,35.0,35.0
153,Er1Ba2Cu3O6.34,20.0,20.0
154,Er1Ba2Cu3O6.31,55.0,55.0
155,Er1Ba2Cu3O6.67,85.0,85.0
156,Er1Ba2Cu3O6.91,92.0,92.0
157,Y1Ba2La1.94Cu3O6.963,91.8,91.8
158,Y1Ba1.92La0.08Cu3O6.965,92.6,92.6
159,Y1Ba1.9La0.1Cu3O6.975,93.9,93.9
160,Y1Ba1.86La0.14Cu3O6.98,89.4,89.4
161,Y1Ba1.8La0.2Cu3O7.013,80.5,80.5
162,Y1Ba1.76La0.24Cu3O7.024,73.4,73.4
163,Y1Ba1.7La0.3Cu3O7.059,61.4,61.4
164,Y1Ba1.66La0.34Cu3O7.073,56.0,56.0
165,Y1Ba1.6La0.4Cu3O7.083,49.4,49.4
166,Y1Ba1.54La0.46Cu3O7.118,44.1,44.1
167,Y1Ba2Cu2.95Co0.05O6.88,91.2,91.2
168,Y1Ba2Cu2.9Co0.1O6.89,55.3,55.3
169,Y1Ba2Cu2.7Co0.3O6.93,16.9,16.9
170,Y1Ba2Cu2.82Fe0.18O7,74.0,74.0
171,Y1Ba2Cu2.64Fe0.36O7,32.0,32.0
172,Gd1Ba2Cu2.64Fe0.36O6.99,21.0,21.0
173,Gd1Ba2Cu2.91Fe0.09O6.94,75.0,75.0
174,Gd1Ba2Cu2.82Fe0.18O6.91,41.0,41.0
175,Gd1Ba2Cu2.73Fe0.27O6.98,40.0,40.0
176,Bi0.7Pb0.3Sr1Ca1Cu1.8O6,73.0,73.0
177,Er1Ba2Cu3O6.53,54.3,54.3
178,Er1Ba2Cu3O6.64,61.3,61.3
179,Er1Ba2Cu3O6.78,78.2,78.2
180,Er1Ba2Cu3O6.87,94.5,94.5
181,Y0.9Pr0.1Ba2Cu3O6.91,81.0,81.0
182,Y0.8Pr0.2Ba2Cu3O6.91,62.7,62.7
183,Y0.7Pr0.3Ba2Cu3O6.88,47.5,47.5
184,Y0.65Pr0.35Ba2Cu3O7.01,44.5,44.5
185,Y0.6Pr0.4Ba2Cu3O6.9,32.0,32.0
186,Y0.55Pr0.45Ba2Cu3O7.01,29.2,29.2
187,La1Ba2Cu2.9O6.82,45.0,45.0
188,La1Ba2Cu3O6.85,93.0,93.0
189,Y1Ba2Cu2.9Al0.1O7.1,85.0,85.0
190,Y1Ba2Cu2.9Sn0.1O7.28,90.0,90.0
191,La1.84Sr0.16Cu0.987Ni0.013O4,25.0,25.0
192,La1.84Sr0.16Cu0.975Ni0.025O4,15.0,15.0
193,Bi4Ca3Sr3Cu4O16,86.5,88.1666666666667
194,Y1Ba2Cu3O7.1,92.0,91.65
195,Y1Ba2Cu3O6.51,45.4,45.4
196,Y1Ba2Cu3O6.3,28.0,28.0
197,Sm1Ba2Cu3O6.944,94.0,94.0
198,Sm1.2Ba1.8Cu3O6.965,47.0,47.0
199,Y1Ba2Cu2.97Ga0.03O7,90.88,90.88
200,Y1Ba2Cu2.94Ga0.06O7,87.99,87.99
201,Y1Ba2Cu2.91Ga0.09O7,83.71,83.71
202,Y1Ba2Cu2.88Ga0.12O7,79.89,79.89
203,Y1Ba2Cu2.85Ga0.15O7,78.49,78.49
204,Y1Ba2Cu2.82Ga0.18O7,79.24,79.24
205,Y1Ba2Cu2.79Ga0.21O7,76.91,76.91
206,Y1Ba2Cu2.76Ga0.24O7,71.79,71.79
207,Y1Ba2Cu2.73Ga0.27O7,67.04,67.04
208,Y1Ba2Cu2.67Ga0.33O7,65.64,65.64
209,Y1Ba2Cu2.61Ga0.39O7,64.8,64.8
210,Y1Ba2Cu2.55Ga0.45O7,65.36,65.36
211,Y1Ba2Cu2.4Ga0.6O7,63.31,63.31
212,Y1Ba2Cu2.885Zn0.195O7,32.4,32.4
213,Y1Ba2Cu2.98Ni0.02O7,91.6,91.6
214,Y1Ba2Cu2.95Ni0.05O7,90.6,90.6
215,Y1Ba2Cu2.6Ni0.4O7,58.0,64.5
216,Sm1La0.75Sr0.25Cu1O3.95,20.0,20.0
217,La1.887Sr0.113Cu1O4,29.7,29.7
218,La1.737Sr0.263Cu1O4,8.0,8.0
219,Ba0.77K0.23Bi1O3,28.0,28.0
220,Sm1Ba2Cu3O6.941,90.7,90.7
221,Sm1Ba2Cu3O6.927,88.1,88.1
222,Sm1Ba2Cu3O6.9,87.0,87.0
223,Sm1Ba2Cu3O6.878,91.1,91.1
224,Sm1Ba2Cu3O6.813,83.6,83.6
225,Sm1Ba2Cu3O6.773,87.8,87.8
226,Sm1Ba2Cu3O6.734,67.6,67.6
227,Sm1Ba2Cu3O6.709,59.8,59.8
228,Sm1Ba2Cu3O6.554,44.7,44.7
229,Y1Ba1.9Ca0.1Cu3O6.84,85.0,85.0
230,Y1Ba1.9Sr0.1Cu3O6.89,89.0,89.0
231,Y1Ba2Cu2.975Zn0.025O6.93,82.8,82.8
232,Y1Ba2Cu2.95Zn0.05O6.94,73.9,73.9
233,Y1Ba2Cu2.925Zn0.075O6.94,65.0,65.0
234,Y1Ba2Cu2.9Zn0.1O6.94,56.9,56.95
235,Y1Ba2Cu2.8Zn0.2O6.88,54.7,54.7
236,Y1Ba2Cu2.7Zn0.3O6.92,47.2,47.2
237,Y1Ba2Cu2.975Zn0.025O6.85,72.85,72.85
238,Y1Ba2Cu2.95Zn0.05O6.85,66.19,66.19
239,Y1Ba2Cu2.925Zn0.075O6.85,63.6,63.6
240,Y1Ba2Cu2.9Zn0.1O6.85,50.08,50.08
241,Y1Ba2Cu2.85Zn0.15O6.85,47.6,47.6
242,Y1Ba2Cu2.8Zn0.2O6.85,30.69,30.69
243,Y1Ba2Cu2.8Ni0.2O7,63.5,71.45
244,Y1Ba2Cu2.75Ni0.25O7,54.0,58.95
245,Y1Ba2Cu2.72Ni0.28O7,51.0,51.0
246,Y1Ba2Cu2.89Co0.11O7,64.0,64.0
247,Y1Ba2Cu2.82Co0.18O7,46.0,46.0
248,Y1Ba1.9K0.1Cu3O6.9,91.5,91.5
249,Y1Ba2Cu2.97Fe0.03O7,91.2,86.6
250,Bi2Sr2Ca6Cu8O19,80.0,80.0
251,Bi2Sr2Ca2Cu4O11,95.0,95.0
252,Tl1Ba1Ca1Cu2O5.5,114.0,114.0
253,Bi2.15Sr1.68Ca1.17Cu2O8,80.0,80.0
254,Tl2Ba2Cu1O5.989,10.0,10.0
255,Y1Ba2Cu3O6.29,21.9,21.9
256,Y1Ba2Cu3O6.34,23.5,23.5
257,Tl2Ba2Cu1O5.957,38.0,38.0
258,Tl2Ba2Cu1O5.947,50.0,50.0
259,Tl2Ba2Cu1O5.943,56.0,56.0
260,Tl2Ba2Ca1Cu2O7.984,90.0,91.0
261,Tl2Ba2Ca1Cu2O7.978,95.0,95.0
262,Tl2Ba2Ca1Cu2O7.958,107.0,107.0
263,Tl2Ba2Ca1Cu2O7.946,107.0,107.0
264,Tl2Ba2Ca1Cu2O7.876,110.0,110.0
265,Tl2Ba2Ca1Cu2O7.833,112.0,112.0
266,Tl2Ba2Cu1O5.94,58.0,58.0
267,Tl2Ba2Cu1O5.929,70.0,70.0
268,Tl2Ba2Cu1O5.912,82.0,82.0
269,Tl2Ba2Cu1O5.876,87.0,87.0
270,Tl2Ba2Ca2Cu3O9.964,112.0,112.0
271,Tl2Ba2Ca2Cu3O9.877,111.0,111.0
272,Tl2Ba2Ca2Cu3O9.841,110.0,110.0
273,Tl2Ba2Cu1O5.963,53.0,53.0
274,Bi1.6Pb0.3Sb0.1Sr2Ca2Cu3O10,109.0,109.0
275,Ho0.95Ca0.05Ba2Cu4O8,81.0,81.0
276,Ho0.9Ca0.1Ba2Cu4O8,87.0,87.0
277,Ho0.85Ca0.15Ba2Cu4O8,87.0,87.0
278,Ho0.8Ca0.2Ba2Cu4O8,87.0,87.0
279,Ho0.7Ca0.3Ba2Cu4O8,87.0,87.0
280,Bi4Sr4Ca2Cu4O16.25,82.4,82.4
281,Bi4Sr4Ca1.9Tm0.1Cu4O16.28,83.9,83.9
282,Bi4Sr4Ca1.8Tm0.2Cu4O16.38,83.9,83.9
283,Bi4Sr4Ca1.5Tm0.5Cu4O16.5,84.3,84.3
284,Bi4Sr4Ca1Tm1Cu4O16.67,37.7,37.7
285,Bi4Sr4Ca0.5Tm1.5Cu4O16.91,1.5,1.5
286,Bi4Sr4Ca3Cu4O16.29,81.0,81.0
287,Bi4Sr3Ca2.9Tm0.1Cu4O16.36,80.0,80.0
288,Bi4Sr3Ca2.8Tm0.2Cu4O16.41,83.0,83.0
289,Bi4Sr3Ca2.5Tm0.5Cu4O16.52,81.0,81.0
290,Bi4Sr3Ca2Tm1Cu4O16.73,46.5,46.5
291,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.25,72.0,71.5
292,Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,73.0,73.0
293,Bi2Sr1.5Ca1.5Cu2O8.22,73.0,73.0
294,Bi2Sr1.5Ca1.5Cu2O8.25,67.0,67.0
295,Bi2Sr2Ca0.65Y0.35Cu2O8.3,74.0,74.0
296,Y1Ba2Cu4O7.8,77.5,77.5
297,Y1Ba1.9Sr0.1Cu4O7.9,78.0,78.0
298,Y1Ba1.8Sr0.2Cu4O7.9,78.0,78.0
299,Y1Ba1.6Sr0.4Cu4O7.9,79.0,79.0
300,Y1Ba1.4Sr0.6Cu4O7.8,78.5,78.5
301,Y1Ba1.2Sr0.8Cu4O7.9,79.0,79.0
302,Y1Ba1.8Sr0.2Cu3O6.8,90.5,90.5
303,Y0.95Ca0.05Ba1.6Sr0.4Cu4O7.8,82.0,82.0
304,Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5,85.5
305,Y1Ba1.6Sr0.4Cu3O6.8,88.5,88.5
306,Y1Ba1.4Sr0.6Cu3O6.8,86.0,86.0
307,Y1Ba1.2Sr0.8Cu3O6.8,86.0,86.0
308,Y1Ba0.8Sr1.2Cu3O6.8,82.0,82.0
309,Y1Ba2Cu4O7.96,86.0,86.0
310,Tl2Ba2Cu1O6.12,87.8,87.8
311,Tl2Ba2Cu1O6.16,64.9,64.9
312,Tl2Ba2Cu1O6.19,45.3,45.3
313,Bi4Sr3Ca2Y1Cu4O16,43.5,43.5
314,Bi4Sr3Ca1.6Y1.4Cu4O16,79.8,79.8
315,Bi4Sr3Ca1.5Y1.5Cu4O16,86.1,86.1
316,Bi4Sr3Ca1.4Y1.6Cu4O16,85.8,85.8
317,Bi4Sr3Ca1.2Y1.8Cu4O16,79.3,79.3
318,Bi4Sr3Ca1Y2Cu4O16,64.1,64.1
319,Bi2Sr2Ca0.75Y0.25Cu2O8,89.4,89.4
320,Nd1Ba2Cu3O6.84,93.0,93.0
321,Nd1.1Ba1.9Cu3O6.9,92.0,92.0
322,Nd1.2Ba1.8Cu3O6.96,80.0,80.0
323,Nd1.3Ba1.7Cu3O7,69.0,69.0
324,Nd1.4Ba1.6Cu3O7.09,38.0,38.0
325,Nd1.5Ba1.5Cu3O7.14,20.0,20.0
326,Y1Ba2Cu3.85O6.85,93.0,93.0
327,Y1Ba2Cu2.7Fe0.3O7.15,36.0,36.0
328,Tl1Sr1.3Nd0.7Ca1Cu2O7,81.0,81.0
329,Y1Ba2Cu2.85Zn0.15O6.97,39.0,39.0
330,Y1Ba2Cu2.85Zn0.15O6.9,32.5,32.5
331,Y1Ba2Cu2.79Zn0.21O6.97,14.2,14.2
332,Y1Ba2Cu2.94Zn0.06O6.97,67.6,67.6
333,Y1Ba2Cu2.94Zn0.06O6.76,41.1,41.1
334,Y1Ba2Cu2.97Zn0.03O6.97,79.1,79.1
335,Y1Ba2Cu2.97Zn0.03O6.9,81.0,81.0
336,Y1Ba2Cu2.97Zn0.03O6.76,61.4,61.4
337,Y1Ba2Cu2.97Zn0.03O6.59,38.7,38.7
338,Y1Ba2Cu2.97Zn0.03O6.47,29.8,29.8
339,Y1Ba2Cu2.97Zn0.03O6.85,77.0,77.0
340,Y1Ba2Cu2.97Zn0.03O6.67,39.8,39.8
341,Y1Ba2Cu2.94Zn0.06O6.84,60.8,60.8
342,Y1Ba2Cu2.94Zn0.06O6.65,18.9,18.9
343,Y1Ba2Cu2.94Zn0.06O6.59,18.9,18.75
344,Y1Ba2Cu3O6.47,51.4,47.5
345,Y1Ba2Cu3O6.33,18.6,18.6
346,Y1Ba2Cu2.94Ni0.06O6.97,85.0,85.0
347,Y1Ba2Cu2.94Ni0.06O6.9,86.3,86.3
348,Y1Ba2Cu2.94Ni0.06O6.78,64.6,64.6
349,Y1Ba2Cu2.94Ni0.06O6.6,40.1,40.1
350,Y1Ba2Cu2.94Ni0.06O6.47,23.0,23.0
351,Y1Ba2Cu2.94Ni0.06O6.7,47.4,47.4
352,Y1Ba2Cu2.94Ni0.06O6.64,43.1,43.1
353,Y1Ba2Cu2.94Ni0.06O6.56,37.5,37.5
354,Y1Ba2Cu2.85Ni0.15O6.97,77.2,77.2
355,Y1Ba2Cu2.85Ni0.15O6.9,73.0,73.0
356,Y1Ba2Cu2.85Ni0.15O6.78,41.3,41.3
357,Y1Ba2Cu2.7Ni0.3O6.97,60.4,50.2
358,Y1Ba2Cu2.7Ni0.3O6.9,46.0,46.0
359,Y0.95Pr0.05Ba2Cu3O6.97,91.5,91.5
360,Y0.6Pr0.4Ba2Cu3O6.97,40.0,40.0
361,Y0.85Ca0.05Pr0.1Ba2Cu3O6.95,84.6,84.6
362,Y0.8Ca0.1Pr0.1Ba2Cu3O6.95,81.4,81.4
363,Y0.95Pr0.05Ba2Cu3O6.95,91.5,91.5
364,Y0.85Pr0.15Ba2Cu3O6.95,81.6,81.6
365,Y0.83Ca0.02Pr0.15Ba2Cu3O6.95,83.0,83.0
366,Y0.8Ca0.05Pr0.15Ba2Cu3O6.95,82.7,82.7
367,Y0.77Ca0.08Pr0.15Ba2Cu3O6.95,81.7,81.7
368,Y0.75Ca0.1Pr0.15Ba2Cu3O6.95,79.6,79.6
369,Y0.7Ca0.15Pr0.15Ba2Cu3O6.95,77.6,77.6
370,Y0.75Ca0.05Pr0.2Ba2Cu3O6.95,76.4,76.4
371,Y0.7Ca0.1Pr0.2Ba2Cu3O6.95,77.1,77.1
372,Y0.6Ca0.2Pr0.2Ba2Cu3O6.95,72.9,72.9
373,Y0.65Ca0.15Pr0.2Ba2Cu3O6.95,77.1,77.1
374,Tl1Ba2Ca0.9Gd0.1Cu2O7,91.8,91.8
375,Tl1Ba2Ca0.8Gd0.2Cu2O7,93.6,93.6
376,Tl1Ba2Ca0.9Y0.1Cu2O7,86.1,86.1
377,Tl1Ba2Ca0.8Y0.2Cu2O7,97.6,97.6
378,Tl1Ba2Ca0.65Y0.35Cu2O7,102.0,102.0
379,Tl1Ba2Ca0.6Y0.4Cu2O7,95.8,95.8
380,Tl1Ba2Ca0.9Nd0.1Cu2O7,90.8,90.8
381,Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3,96.3
382,Tl1Ba2Ca0.7Nd0.3Cu2O7,95.5,95.5
383,Y1Ba2Cu2.955Fe0.045O6.93,91.4,91.4
384,Y1Ba2Cu2.835Fe0.165O6.98,69.3,69.3
385,Y1Ba2Cu2.745Fe0.255O7.08,53.0,53.0
386,Y1Ba2Cu2.64Fe0.36O7.12,32.0,32.0
387,Y1Ba2Cu4O8.045,81.4,81.4
388,Y0.981Ba1.994Ca0.025Cu4O8,87.1,87.1
389,Y0.962Ba1.987Ca0.05Cu4O8,91.5,91.5
390,Y0.925Ba1.975Ca0.1Cu4O8,92.3,92.3
391,Y0.887Ba1.962Ca0.15Cu4O8,91.8,91.8
392,Y0.85Ba1.95Ca0.2Cu4O8,91.6,91.6
393,Y1Ba2Cu4O8.043,80.0,80.0
394,La2Cu1O4.13,34.0,31.0
395,La2Cu1O4.32,37.5,37.5
396,Nd1.847Ce0.153Cu1O4,22.5,22.5
397,Pb2.04Sr2.07Y0.61Ca0.38Cu3O8,65.0,65.0
398,Y0.8Pr0.2Ba2Cu3O6.82,71.6,71.6
399,Y1Ba2Cu2.73Fe0.27O7.1,69.0,69.0
400,Pr1.85Th0.15Cu1O3.98,17.2,17.2
401,Nd1.85Th0.15Cu1O3.98,17.0,17.0
402,Sm1.85Th0.15Cu1O3.98,1.8,1.8
403,Sm1.85Ce0.15Cu1O3.98,19.7,19.7
404,Eu1.85Ce0.15Cu1O3.98,7.3,7.3
405,La2Cu1FO4,40.0,40.0
406,Bi1.8Pb0.4Sr1.85Ca2.05Cu3O10.26,107.0,107.0
407,Bi2Sr2Ca0.8Y0.2Cu2O8.26,92.0,92.0
408,Bi2Sr2Ca0.8Gd0.2Cu2O8.26,89.8,89.8
409,La1.75Ca1.25Cu2O5.99,47.7,47.7
410,Pb2Sr2Y0.5Ca0.5Cu3O8,78.4,78.4
411,Pb2Sr2Y0.5Ca0.5Cu3O8.6,65.0,65.0
412,Y1.04Ba1.96Cu3O6.8,90.6,90.6
413,Y1Ba2Cu3O6.36,8.3,8.3
414,Th1Ca3Ba1Cu3O9,124.5,124.5
415,Y2Ba4Cu7O14.98,88.0,88.0
416,Y2Ba4Cu7O14.92,82.0,82.0
417,Y2Ba4Cu7O14.85,78.0,78.0
418,Y2Ba4Cu7O14.78,70.0,70.0
419,Y2Ba4Cu7O14.68,60.0,60.0
420,Y2Ba4Cu7O14.38,50.0,50.0
421,Y2Ba4Cu7O14.16,34.0,34.0
422,Y2Ba4Cu7O14.04,36.0,36.0
423,Tl1Ba2Ca1Cu2O7,80.0,80.8
424,Y1Ba2Cu2.94Al0.06O7,87.0,87.0
425,Tl2Ba2Cu1O6.01,81.0,81.0
426,Tl2Ba2Cu1O6.03,62.0,62.0
427,Tl2Ba2Cu1O6.05,47.0,47.0
428,Tl2Ba2Cu1O6.08,16.0,16.0
429,Nd1.86Ce0.14Cu1O3.96,21.3,21.3
430,Nd1.85Ce0.15Cu1O3.95,22.1,22.1
431,Nd1.84Ce0.16Cu1O3.96,16.1,16.1
432,Y1Ba2Cu2.7Zn0.3O7,19.0,23.0
433,Nd1.85Th0.15Cu1O4,22.5,22.5
434,Nd1.55La0.3Th0.15Cu1O4,22.0,22.0
435,Nd1.25La0.6Th0.15Cu1O4,18.0,18.0
436,Nd0.95La0.9Th0.15Cu1O4,16.0,16.0
