,element,Tc,Tc_mean
10135,Ba0.95K0.05Fe1.782Co0.212As2,16.0,16.0
10136,Ba0.86K0.14Fe1.68Co0.32As2,11.0,11.0
10137,Ba0.82K0.18Fe1.654Co0.346As2,11.0,11.0
10138,Ba0.805K0.195Fe1.738Co0.262As2,14.0,14.0
10139,Ba0.694K0.306Fe1.826Co0.174As2,18.0,18.0
10140,Ba0.66K0.34Fe1.8Co0.2As2,19.0,19.0
10141,Ba0.68K0.32Fe1.954Co0.046As2,35.0,35.0
10142,Ba0.511K0.489Fe1.772Co0.228As2,22.0,22.0
10143,Ba0.49K0.51Fe1.79Co0.21As2,15.0,15.0
10144,Ni0.02Ta1Se2,2.5,2.5
10145,Se2Ta1,0.14,0.16
10146,Nd1.4Cu1O4,27.85,27.85
10147,Nd1.7Cu1O4,30.7,30.7
10148,Nd1.8Cu1O4,31.3,31.3
10149,Nd2Cu1O4,32.0,29.5
10150,Nd2.1Cu1O4,30.35,30.35
10151,La1.9Sm0.1Cu1O4,25.0,25.0
10152,La1.7Sm0.3Cu1O4,25.0,25.0
10153,Ba2Cu1O4,42.5,48.0
10154,La1.83Sr0.17Cu0.94Fe0.06O4,26.5,26.5
10155,La1.81Sr0.19Cu0.94Fe0.06O4,28.6,28.6
10156,La1.79Sr0.21Cu0.94Fe0.06O4,2.8,2.8
10157,La1.77Sr0.23Cu0.94Fe0.06O4,30.5,30.5
10158,La1.75Sr0.25Cu0.94Fe0.06O4,30.5,30.5
10159,La1.73Sr0.27Cu0.94Fe0.06O4,32.5,32.5
10160,La1.71Sr0.29Cu0.94Fe0.06O4,32.5,32.5
10161,La1.69Sr0.31Cu0.94Fe0.06O4,28.4,28.4
10162,La1.81Sr0.19Cu0.94Co0.06O4,31.8,31.8
10163,La1.79Sr0.21Cu0.94Co0.06O4,31.8,31.8
10164,La1.77Sr0.23Cu0.94Co0.06O4,32.5,32.5
10165,La1.75Sr0.25Cu0.94Co0.06O4,36.4,36.4
10166,La1.73Sr0.27Cu0.94Co0.06O4,34.0,34.0
10167,La1.71Sr0.29Cu0.94Co0.06O4,33.0,33.0
10168,La1.69Sr0.31Cu0.94Co0.06O4,31.0,31.0
10169,La1.67Sr0.33Cu0.94Co0.06O4,29.0,29.0
10170,La1.81Sr0.19Cu0.94Ni0.06O4,26.4,26.4
10171,La1.79Sr0.21Cu0.94Ni0.06O4,28.3,28.3
10172,La1.77Sr0.23Cu0.94Ni0.06O4,31.5,31.5
10173,La1.75Sr0.25Cu0.94Ni0.06O4,36.5,36.5
10174,La1.73Sr0.27Cu0.94Ni0.06O4,34.4,34.4
10175,La1.71Sr0.29Cu0.94Ni0.06O4,30.4,30.4
10176,Ce1Fe0.95Co0.05As1F0.1O0.9,23.5,23.5
10177,Ce1Fe0.9Co0.1As1F0.1O0.9,9.8,9.8
10178,Ce1Fe0.85Co0.15As1F0.1O0.9,4.0,4.0
10179,Ba1Pb0.85Sb0.15O3,1.4,1.4
10180,Ba1Pb0.8Sb0.2O3,1.7,1.7
10181,Ba1Pb0.75Sb0.25O3,3.5,3.5
10182,Sr1.84Ba0.16Cu1O3.4,75.0,75.0
10183,Sr1.68Ba0.32Cu1O3.4,88.0,88.0
10184,Sr1.4Ba0.6Cu1O3.4,98.0,98.0
10185,Sr2V1Fe1As1O2.9,40.0,40.0
10186,Sr2V1Fe1As1O2.5,20.0,20.0
10187,Tm5Rh6Sn18,2.19,2.22
10188,Tm4Y1Rh6Sn18,2.61,2.61
10189,Tm1.4Y3.6Rh6Sn18,3.14,3.14
10190,Tm5Rh4.8Co1.2Sn18,1.97,1.97
10191,Tm5Rh3.6Co2.4Sn18,1.57,1.57
10192,Tm5Rh2.4Co3.6Sn18,1.27,1.27
10193,Fe0.9Se0.25Te0.75,9.7,9.7
10194,Fe0.95Se0.25Te0.75,8.5,8.5
10195,Fe0.98Se0.25Te0.75,6.5,6.5
10196,Ce1Co1In4.9945Cd0.0055,2.23,2.226
10197,Ce1Co1In4.989Cd0.011,2.18,2.18
10198,Ce1Co1In4.9835Cd0.0165,2.15,2.15
10199,Ce1Co1In4.996Sn0.004,2.21,2.21
10200,Sr0.6La0.4Fe2As2,20.5,20.5
10201,Y0.9Gd0.1Ni2B2C1,12.5,12.0
10202,Y0.86Gd0.14Ni2B2C1,10.475,10.475
10203,Y0.79Gd0.21Ni2B2C1,7.81,7.81
10204,Y0.74Gd0.26Ni2B2C1,5.935,5.935
10205,Lu0.945Gd0.055Ni2B2C1,13.28,13.28
10206,Lu0.87Gd0.13Ni2B2C1,9.715,9.715
10207,Lu0.81Gd0.19Ni2B2C1,6.155,6.155
